,Título,Unidad Académica,Área temática,Propósito general del curso,Resultados de aprendizaje esperados,Nivel,Curso individual o programa,proposito_norm,ruta_img
0,Diseno y Analisis de Algoritmos,ESCUELA DE INGENIERIA CIENCIAS Y TECNOLOGIA,MACC,"Aunque la capacidad de procesamiento y almacenamiento de los computadores sigue aumentando, tambien es cierto que los volumenes de datos y la complejidad de las tareas asignadas a estos es cada vez mayor. Adicionalmente, desde mucho antes de la aparicion del computador se han estudiado cientos de problemas de gran aplicacion practica, para los cuales no se conocen procesos algoritmicos eficientes ni se cree que aparezcan en el futuro. Los cientificos en computacion debe n estar en capacidad de estimar matematicamente la complejidad computacional de los problemas a los que se enfrenta en su actividad profesional y, ademas debe ser capaz de proponer, evaluar y elegir acertadamente soluciones para esos de problemas, siendo consciente de antemano, del desempeno que tendran una vez esten impl eme ntadas. El objetivo del curso es estudiar los principios fundamentales de la solucion de problemas a traves de algoritmos computacionales. El curso aborda dos aspectos principales: el analisis de algoritmos y el diseno de algoritmos eficientes. El analisis de algo ritmos estudia las herramientas matematicas que permiten caracterizar la eficacia y eficiencia en terminos de tiempo y memoria. El diseno de algoritmos estudia diversos tipos de problemas y tecnicas para resolverlos de manera eficiente. Este es un curso intermedio de algoritmos hace enfasis en la ensenanza de tecnicas para el diseno y analisis de algoritmos eficientes, con un enfoque fuerte en metodos de aplicacion. Los temas incluyen tecnicas como: divide y venceras, vuelta atras (backtracking ), aleatorizacion, programacion dinamica, algoritmos voraces, mejora incremental y complejidad.",X,,Programa,aunque capacidad procesamiento almacenamiento computadores sigue aumentando tambien cierto volumenes datos complejidad tareas asignadas cada vez mayor adicionalmente aparicion computador estudiado cientos problemas gran aplicacion practica cuales conocen procesos algoritmicos eficientes cree aparezcan futuro cientificos computacion debe capacidad estimar matematicamente complejidad computacional problemas enfrenta actividad profesional ademas debe ser capaz proponer evaluar elegir acertadamente soluciones problemas consciente antemano desempeño tendran vez esten impl eme ntadas objetivo curso estudiar principios fundamentales solucion problemas traves algoritmos computacionales curso aborda dos aspectos principales analisis algoritmos diseño algoritmos eficientes analisis ritmos estudia herramientas matematicas permiten caracterizar eficacia eficiencia terminos tiempo memoria diseño algoritmos estudia diversos tipos problemas tecnicas resolverlos manera eficiente curso intermedio algoritmos hace enfasis enseñanza tecnicas diseño analisis algoritmos eficientes enfoque fuerte metodos aplicacion temas incluyen tecnicas divide venceras vuelta atras (backtracking aleatorizacion programacion dinamica algoritmos voraces mejora incremental complejidad,/fondoCartas/img10.jpg
1,Teoria de grafos,ESCUELA DE INGENIERIA CIENCIAS Y TECNOLOGIA,MACC,"La teoria de grafos es la formalizacion y presentacion matematica rigurosa de redes interconectadas compuestas por lineas y nodos, atendiendo a las relaciones de conectividad, llamadas topologia, y a los valores numericos asociados con los nodos y las line as. La teoria de grafos incluye una serie de elementos matematicos fundamentales como el analisis matricial y la combinatoria, pero a la vez incluye elementos de computacion como algoritmos y complejidad. Es un area de gran relevancia en ciencia y tecnolog ia. Su correcto dominio es la puerta de entrada a aplicaciones de actualidad como gestion de trafico y redes informaticas.",X,,Programa,teoria grafos formalizacion presentacion matematica rigurosa redes interconectadas compuestas lineas nodos atendiendo relaciones conectividad llamadas topologia valores numericos asociados nodos line teoria grafos incluye serie elementos matematicos fundamentales analisis matricial combinatoria vez incluye elementos computacion algoritmos complejidad area gran relevancia ciencia tecnolog correcto dominio puerta entrada aplicaciones actualidad gestion trafico redes informaticas,/fondoCartas/img10.jpg
2,Fundamentos de Sistemas Digitales,ESCUELA DE INGENIERIA CIENCIAS Y TECNOLOGIA,ING,"Esta materia introduce al estudiante en las bases hardware y la organizacion de los sistemas digitales. Como tal, es un curso de trabajo practico para incorporacion y puesta en contexto dentro del medio mencionado. El curso tiene un amplio recorrido comenzando con fundamentos basicos de electronica, pasando por sistemas de numeracion y funcionamiento de compuertas logicas, y llegando hasta la organizacion general de bloques combinacionales y secuenciales . No se enfatiza en la fisica de la microelectronica, se enfatiza en la concepcion y operatividad logica que son el nucleo del funcionamiento de los sistemas digitales en una gran variedad de presentaciones. Este curso permite la incorporacion del estudiante en un vasto mundo de posibilidades tecnologicas, al combinar el uso de hardware y software para la solucion de problemas.",X,,Programa,materia introduce estudiante bases hardware organizacion sistemas digitales tal curso trabajo practico incorporacion puesta contexto dentro medio mencionado curso amplio recorrido comenzando fundamentos basicos electronica pasando sistemas numeracion funcionamiento compuertas logicas llegando organizacion general bloques combinacionales secuenciales enfatiza fisica microelectronica enfatiza concepcion operatividad logica nucleo funcionamiento sistemas digitales gran variedad presentaciones curso permite incorporacion estudiante vasto mundo posibilidades tecnologicas combinar uso hardware software solucion problemas,/fondoCartas/img6.jpg
3,Calculo 3,ESCUELA DE INGENIERIA CIENCIAS Y TECNOLOGIA,MACC,Este curso tiene como proposito acercar a los estudiantes a los conceptos fundamentales del calculo en varias variables y vectorial.,X,,Programa,curso proposito acercar estudiantes conceptos fundamentales calculo varias variables vectorial,/fondoCartas/img7.jpg
4,Procesamiento  de Senales  e Imagenes,ESCUELA DE INGENIERIA CIENCIAS Y TECNOLOGIA,MACC,"Este curso presentara una introduccion al analisis espectral de senales y al uso de filtros digitales. Para ello, el curso contara con una conceptualizacion de senales y sistemas discretos en el tiempo, la Transformada Z y el dominio de la frecuencia, se abordara el diseno e implementacion de filtros digitales, y se llevara a cabo el estudio de la Transformada Discreta de Fourier y la Transformada Rapida de Fourier. El curso busca:",X,,Programa,curso presentara introduccion analisis espectral señales uso filtros digitales ello curso contara conceptualizacion señales sistemas discretos tiempo transformada dominio frecuencia abordara diseño implementacion filtros digitales llevara cabo estudio transformada discreta fourier transformada rapida fourier curso busca,/fondoCartas/img3.jpg
5,Redes  de Computadores,ESCUELA DE INGENIERIA CIENCIAS Y TECNOLOGIA,MACC,"Este es un primer curso en redes de computadores que introduce al estudiante en los conceptos de infraestructura de comunicaciones y protocolos de comunicaciones para redes: LAN, WLAN, WAN y telefonia celular LTE . El curso cubre la arquitectura en capas que conforma la red Internet, desde la capa de aplicacion hasta la capa fisica, pasando por las capas de enlace, red y transporte. El curso incorpora modulos donde se requieren habilidad de programacion, asi como herramientas de analisis probabilistico para determinar medidas de confiabilidad y desempeno en redes. El curso busca formar al estudiante en los conceptos fundamentales de las redes de computadores, su estructura, principios de diseno, protocolos de comunicacion y algoritmos.",X,,Programa,primer curso redes computadores introduce estudiante conceptos infraestructura comunicaciones protocolos comunicaciones redes lan wlan wan telefonia celular lte curso cubre arquitectura capas conforma red internet capa aplicacion capa fisica pasando capas enlace red transporte curso incorpora modulos requieren habilidad programacion asi herramientas analisis probabilistico determinar medidas confiabilidad desempeño redes curso busca formar estudiante conceptos fundamentales redes computadores estructura principios diseño protocolos comunicacion algoritmos,/fondoCartas/img3.jpg
6,Energia y Medio Ambiente,ESCUELA DE INGENIERIA CIENCIAS Y TECNOLOGIA,ING,"El curso de Energia y Medio Ambiente es de caracter teorico, esta disenado para dar a los estudiantes las herramientas para analizar y comprender la situacion actual de la matriz energetica mundial y nacional y lo que pueden significar para el medio ambien te, adicionalmente, buscara proporcionar a los estudiantes una amplia comprension de los sistemas de energia, sus desafios, particularmente con respecto al medio ambiente, y los posibles caminos hacia un futuro de energia sostenible. El curso busca:",X,,Programa,curso energia medio ambiente caracter teorico diseñado dar estudiantes herramientas analizar comprender situacion actual matriz energetica mundial nacional pueden significar medio ambien adicionalmente buscara proporcionar estudiantes amplia comprension sistemas energia desafios particularmente respecto medio ambiente posibles caminos hacia futuro energia sostenible curso busca,/fondoCartas/img9.jpg
7,Simulacion,ESCUELA DE INGENIERIA CIENCIAS Y TECNOLOGIA,ING,"Esta asignatura introduce a la teoria de colas o teoria de lineas de espera, asi como a herramientas computacionales para el modelaje y simulacion de sistemas, especialmente sistemas logisticos, de manufactura y servicios. El curso inicia la explicacion de los procesos de llegada, procesos de salida, se explica la notacion de Kendal l-Lee junto con la propiedad de perdida de memoria y se abordan diferentes modelos de teoria de colas. Luego, el curso se enfoca en la simulacion de eventos discretos , presenta herramientas de analisis de datos para la parametrizacion de modelos y para apoyar la toma de decisiones a partir de sus resultados. El curso se enfoca en tecnicas estadisticas de analisis de datos y herramientas computacionales de modelaje de sistemas basado en simulacion de eventos discretos. Se consideran en particular sistemas logisticos, de manufactura y servicios.",X,,Programa,asignatura introduce teoria colas teoria lineas espera asi herramientas computacionales modelaje simulacion sistemas especialmente sistemas logisticos manufactura servicios curso inicia explicacion procesos llegada procesos salida explica notacion kendal l-lee junto propiedad perdida memoria abordan diferentes modelos teoria colas luego curso enfoca simulacion eventos discretos presenta herramientas analisis datos parametrizacion modelos apoyar toma decisiones partir resultados curso enfoca tecnicas estadisticas analisis datos herramientas computacionales modelaje sistemas basado simulacion eventos discretos consideran particular sistemas logisticos manufactura servicios,/fondoCartas/img5.jpg
8,Logica para ciencias de la computacion,ESCUELA DE INGENIERIA CIENCIAS Y TECNOLOGIA,MACC,"En este curso examinaremos en gran detalle uno de los sistemas formales mas sencillos, a saber, la logica proposicional bivalente. Se presentara este sistema desde una perspectiva de ciencias de la computacion, resaltando la codificacion de situaciones, las nociones y teoremas basicos, y el componente algoritmico de las funciones recursivas y de los algoritmos de busqueda de modelos (SAT solvers) para la resolucion de problemas aplicados. Mediante este estudio veremos los estrechos vinculos entre las matematicas, la computacion y el razonamiento.",X,,Programa,curso examinaremos gran detalle sistemas formales mas sencillos saber logica proposicional bivalente presentara sistema perspectiva ciencias computacion resaltando codificacion situaciones nociones teoremas basicos componente algoritmico funciones recursivas algoritmos busqueda modelos (sat solvers) resolucion problemas aplicados mediante estudio veremos estrechos vinculos matematicas computacion razonamiento,/fondoCartas/img5.jpg
9,Seguridad  en el Ciclo  de Desarrollo  de Software,ESCUELA DE INGENIERIA CIENCIAS Y TECNOLOGIA,MACC,"En la actualidad se presenta un sin numero de incidentes informaticos debidos en gran medida a software construido sin una perspectiva de seguridad. Estos incidentes pueden tener impactos significativos tanto para las organizaciones como para sus usuarios, llegando a ser determinantes para la continuidad operativa de una empresa . Ya sea que una organizacion desarrolle su propio software o lo adquiera, es crucial comprender como tener un software con una superficie de ataque lo mas reducida posible para evitar poner en riesgo los demas activos de informacion de la organizacion. El proposito de este curso es formar estudiantes con capacidades tecnicas que les permitan apoyar labores propias de un ciclo de desarrollo del software seguro, las cuales incluyen al menos diseno, identificacion de requerimientos, implementacion, pruebas, puesta a produccion, mantenimiento y disposicion final. El objetivo de este curso es dar a conocer buenas practicas en los procesos de desarrollo o adquisicion de software seguro con el fin de construir aplicativos que cumplen requerimientos de seguridad (disponibilidad, confidencialidad, integridad, registro, no repudio, gobierno, autenticidad y cumplimiento).",X,,Programa,actualidad presenta numero incidentes informaticos debidos gran medida software construido perspectiva seguridad incidentes pueden tener impactos significativos organizaciones usuarios llegando ser determinantes continuidad operativa empresa organizacion desarrolle propio software adquiera crucial comprender tener software superficie ataque mas reducida posible evitar poner riesgo demas activos informacion organizacion proposito curso formar estudiantes capacidades tecnicas permitan apoyar labores propias ciclo desarrollo software seguro cuales incluyen menos diseño identificacion requerimientos implementacion pruebas puesta produccion mantenimiento disposicion final objetivo curso dar conocer buenas practicas procesos desarrollo adquisicion software seguro fin construir aplicativos cumplen requerimientos seguridad (disponibilidad confidencialidad integridad registro repudio gobierno autenticidad cumplimiento),/fondoCartas/img3.jpg
